NRO.,NRO. RESOLUCIÓN,FECHA DE EMISIÓN,SOLICITUD,FECHA SOLICITUD,NOMBRE DE LA ORGANIZACIÓN,PROVINCIA,PEDIDO_UNIFICADO
25,SGDPN-DRCPN-2024-0379-R,2024-09-11 00:00:00,SGDPN-SGDPN-2023-1632-,2023-06-02 00:00:00,COMUNIDAD “NUEVA JUVENTUD”,DESISTIMIENTO,SGDPN-SGDPN-2023-1632-
26,SGDPN-DRCPN-2024-0380-R,2024-09-11 00:00:00,SGDPN-SGDPN-2023-2513-E,2023-09-01 00:00:00,COMUNIDAD 3 DE MAYO,DESISTIMIENTO,SGDPN-SGDPN-2023-2513-E
28,SGDPN-DRCPN-2024-0382-R,2024-09-12 00:00:00,SGDPN-SGDPN-2024-1222-E,2024-04-30 00:00:00,ASOCIACION DE MUJERES PAKARINA “AMUPAK”,COTOPAXI,SGDPN-SGDPN-2024-1222-E
29,SGDPN-DRCPN-2024-0466-R,2024-10-10 00:00:00,SGDPN-SGDPN -2024-1833,2024-07-01 00:00:00,FUNDACION KAWSAIPAK ÑAN “FIJA”,COTOPAXI,SGDPN-SGDPN -2024-1833
30,SGDPN-DRCPN-2024-0468-R,2024-10-18 00:00:00,SGDPN-SGDPN -2024-1604-E,2024-06-07 00:00:00,ASOCIACION DEL PUEBLO MONTUBIO DEL CANTON MACHALA “PMM”,EL ORO,SGDPN-SGDPN -2024-1604-E
31,SGDPN-DRCPN-2024-0469-R,2024-10-18 00:00:00,SGDPN-SGDPN-2024-1784-E,2024-06-26 00:00:00,ASOCIACIÓN POBLACIONAL DE RAÍCES ANCESTRALES WANKAVILKAS “SEMBRANDO EL FUTURO”,GUAYAS,SGDPN-SGDPN-2024-1784-E
32,SGDPN-DRCPN-2024-0471-R,2024-10-22 00:00:00,SGDPN-OTZ5-2024-0028-E,2024-01-25 00:00:00,COMUNIDAD LAIHUA KURIÑAN (CAMINO DEL ORO),BOLIVAR,SGDPN-OTZ5-2024-0028-E
33,SGDPN-DRCPN-2024-0484-R,2024-10-25 00:00:00,SGDPN-OTZ5-2024-0249-E,2024-10-10 00:00:00,RECINTO VALDIVIA DEL FRENTE,GUAYAS,SGDPN-OTZ5-2024-0249-E
34,SGDPN-DRCPN-2024-0485-R,2024-10-25 00:00:00,SGDPN-SGDPN-2024-2528-E,2024-08-28 00:00:00,FUNDACION INTERCULTURAL “WAYKA”,IMBABURA,SGDPN-SGDPN-2024-2528-E
35,SGDPN-DRCPN-2024-0486-R,2024-10-28 00:00:00,SGDPN-OTZ5-2023-0169-E,2023-11-24 00:00:00,COMUNIDAD VERDE PAMBA,BOLIVAR,SGDPN-OTZ5-2023-0169-E
36,SGDPN-DRCPN-2024-0488-R,2024-10-28 00:00:00,SGDPN-OTZ5-2024-0208-E,2024-08-13 00:00:00,FUNDACIÓN SOCIAL PUEBLOS UNIDOS POR EL CAMBIO,BOLIVAR,SGDPN-OTZ5-2024-0208-E
37,SGDPN-DRCPN-2024-0513-R,2024-11-12 00:00:00,SGDPN-SGDPN-2023-1286-E,2024-05-08 00:00:00,ASOCIACIÓN VISTA HERMOSA,DESISTIMIENTO,SGDPN-SGDPN-2023-1286-E
38,SGDPN-DRCPN-2024-0516-R,2024-11-14 00:00:00,SGDPN-OTZ5-2024-0208-E ,2024-08-13 00:00:00,FUNDACIÓN SOCIAL PUEBLOS UNIDOS POR EL CAMBIO,BOLIVAR,SGDPN-OTZ5-2024-0208-E 
39,SGDPN-DRCPN-2024-0523-R,2024-11-18 00:00:00,SGDPN-SGDPN-2024-1702-E,2024-06-19 00:00:00,ASOCIACIÓN DE EMPRENDEDORES “PAKCHA PUNKU”,IMBABURA,SGDPN-SGDPN-2024-1702-E
40,SGDPN-DRCPN-2024-0535-R,2024-11-22 00:00:00,SGDPN-OTZ5-2024-0279-E,2024-11-18 00:00:00,RECINTO SAN LORENZO,GUAYAS,SGDPN-OTZ5-2024-0279-E
41,SGDPN-DRCPN-2024-0536-R,2024-11-22 00:00:00,SGDPN-OTZ5-2024-0245-E,2024-10-07 00:00:00,RECINTO LOS POZOS,GUAYAS,SGDPN-OTZ5-2024-0245-E
42,SGDPN-DRCPN-2024-0537-R,2024-11-22 00:00:00,SGDPN-OTZ5-2024-0278-E,2024-11-18 00:00:00,RECINTO LA ESTANCIA,GUAYAS,SGDPN-OTZ5-2024-0278-E
43,SGDPN-DRCPN-2024-0538-R,2024-11-22 00:00:00,SGDPN-OTZ5-2024-0263-E,2024-10-23 00:00:00,RECINTO EL RECREO,GUAYAS,SGDPN-OTZ5-2024-0263-E
44,SGDPN-DRCPN-2024-0543-R,2024-11-22 00:00:00,SGDPN-OTZ5-2024-0191-E,2024-07-17 00:00:00,FUNDACION 5 DE NOVIEMRE,BOLIVAR,SGDPN-OTZ5-2024-0191-E
45,SGDPN-DRCPN-2024-0545-R,2024-11-22 00:00:00,SGDPN-OTZ6-2024-0135-E,2024-09-30 00:00:00,COMUNIDAD SHUAR BUENA ESPERANZA,MORONA SANTIAGO,SGDPN-OTZ6-2024-0135-E
46,SGDPN-DRCPN-2025-0001-R,2025-01-08 00:00:00,SGDPN-SGDPN-2024-1198-E,2024-04-26 00:00:00,ASOCIACIÓN DE MUJERES AFRO AMAZÓNICAS DE SHUSHUFINDI – “AMAAS”,SUCUMBIOS,SGDPN-SGDPN-2024-1198-E
47,SGDPN-DRCPN-2025-0012-R,2025-01-13 00:00:00,SGDPN-SGDPN-2024-1967-E ,2024-07-11 00:00:00,COMUNIDAD INDIGENA SAN ARCOS DE GALAPAGOS,COTOPAXI,SGDPN-SGDPN-2024-1967-E 
48,SGDPN-DRCPN-2025-0014-R,2025-01-15 00:00:00,SGDPN-SGDPN-2024-2160-E,2024-07-26 00:00:00,FUNDACION SHUAR SOCIEDAD Y DESARROLLO,ZAMORA CHINCHIPE,SGDPN-SGDPN-2024-2160-E
49,SGDPN-DRCPN-2025-0015-R,2025-01-15 00:00:00,SGDPN-SGDPN-2024-2763-E,2024-09-17 00:00:00,FUNDACION DE AYUDA SOCIAL INTEGRAL Y COMUNITARIA SAN PABLO “FASICSP”,BOLIVAR,SGDPN-SGDPN-2024-2763-E
