NRO.,NRO. RESOLUCIÓN,FECHA DE EMISIÓN,SOLICITUD,FECHA SOLICITUD,NOMBRE DE LA ORGANIZACIÓN,PROVINCIA,PEDIDO_UNIFICADO
73,SGDPN-DRCPN-2025-0223-R,2025-04-09 00:00:00,SGDPN-OTZ5-2025-0093-E,2025-03-21 00:00:00,COMUNIDAD CALLANAYACU/SIXIPAMBA,BOLIVAR,SGDPN-OTZ5-2025-0093-E
74,SGDPN-DRCPN-2025-0230-R,2025-04-09 00:00:00,SGDPN-OTZ5-2025-0098-E ,2025-03-27 00:00:00,RECINTO CLARISA,GUAYAS,SGDPN-OTZ5-2025-0098-E 
75,SGDPN-DRCPN-2025-0233-R,2025-04-11 00:00:00,SGDPN-SGDPN-2025-1054-E,2025-03-27 00:00:00,FUNDACION CENTRO INTERCULTURAL DE DERECHOS Y JUSTICIA KAPAK,PICHINCHA,SGDPN-SGDPN-2025-1054-E
76,SGDPN-DRCPN-2025-0237-R,2025-04-14 00:00:00,SGDPN-SGDPN-2023-2310-E,2023-08-08 00:00:00,COMUNA ANCESTRAL SANTA RITA DE BALAO,DESISTIMIENTO,SGDPN-SGDPN-2023-2310-E
77,SGDPN-DRCPN-2025-0239-R,2025-04-14 00:00:00,SGDPN-OTZ5-2024-0181-E,2024-07-10 00:00:00,COMUNIDAD YACUBIANA,BOLIVAR,SGDPN-OTZ5-2024-0181-E
78,SGDPN-DRCPN-2025-0240-R,2025-04-14 00:00:00,SGDPN-OTZ5-2024-0288-E ,2024-11-26 00:00:00,RECINTO LOS JAZMINES DE ARRIBA,GUAYAS,SGDPN-OTZ5-2024-0288-E 
79,SGDPN-DRCPN-2025-0257-R,2025-04-23 00:00:00,SGDPN-SGDPN-2024-3833-E,2024-12-26 00:00:00,FUNDACION “FANNY GUAMANGATE”,PICHINCHA,SGDPN-SGDPN-2024-3833-E
80,SGDPN-DRCPN-2025-0267-R,2025-04-23 00:00:00,SGDPN-SGDPN-2024-2872-E,2024-09-25 00:00:00,FUNDACION MURUPAKARY,COTOPAXI,SGDPN-SGDPN-2024-2872-E
81,SGDPN-DRCPN-2025-0274-R,2025-04-25 00:00:00,SGDPN-SGDPN-2024-1248-E,2024-04-09 00:00:00,FUNDACIÓN KAWSAY ÑAN,COTOPAXI,SGDPN-SGDPN-2024-1248-E
82,SGDPN-DRCPN-2025-0295-R,2025-04-30 00:00:00,SGDPN-OTZ6-2024-0159-E,2024-11-19 00:00:00,CENTRO SHUAR SENKUAN,MORONA SANTIAGO,SGDPN-OTZ6-2024-0159-E
